final rider position;lap1;lap2;lap3;lap4;lap5;lap20;avg_lap1_5
1;3;1;4;2;2;1;2,4
2;5;8;8;7;3;2;6,2
3;30;30;31;30;30;3;30,2
4;2;5;7;5;4;4;4,6
5;4;3;2;6;7;5;4,4
6;1;9;9;3;1;6;4,6
7;9;13;10;4;5;7;8,2
8;6;6;5;10;10;8;7,4
9;12;7;1;11;11;9;8,4
10;11;2;6;8;8;10;7
11;32;31;29;29;28;11;29,8
12;14;4;3;9;6;12;7,2
13;35;35;35;35;35;13;35
14;8;11;11;12;9;14;10,2
15;18;19;21;22;21;15;20,2
16;28;28;30;32;32;16;30
17;17;12;12;1;14;17;11,2
18;21;21;18;16;15;18;18,2
19;27;27;26;25;23;19;25,6
20;31;33;33;31;31;20;31,8
21;16;17;16;19;19;21;17,4
22;10;14;14;15;12;22;13
23;20;20;19;17;18;23;18,8
24;19;18;22;23;24;24;21,2
25;26;25;23;21;22;25;23,4
26;24;22;20;20;16;26;20,4
27;34;34;34;34;34;27;34
28;7;10;13;14;13;28;11,4
29;15;15;15;13;17;29;15
30;29;29;28;28;27;30;28,2
31;23;23;24;24;25;31;23,8
32;22;24;25;26;26;32;24,6
33;25;26;27;27;29;33;26,8
34;33;32;32;33;33;34;32,6
35;13;16;17;18;20;35;16,8
